"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Other Leukemias"	"35041-35043"	"White"	"2106-3"	"80-84 years"	"80-84"	"Female"	"F"	5765
	"Other Leukemias"	"35041-35043"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	7495
	"Other Leukemias"	"35041-35043"	"White"	"2106-3"	"85+ years"	"85+"	"Female"	"F"	9601
	"Other Leukemias"	"35041-35043"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	8215
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"1-4 years"	"1-4"	"Male"	"M"	25
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"20-24 years"	"20-24"	"Female"	"F"	18
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"20-24 years"	"20-24"	"Male"	"M"	16
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"25-29 years"	"25-29"	"Female"	"F"	20
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"25-29 years"	"25-29"	"Male"	"M"	25
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"30-34 years"	"30-34"	"Female"	"F"	16
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"30-34 years"	"30-34"	"Male"	"M"	22
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Female"	"F"	18
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Male"	"M"	49
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Female"	"F"	34
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Male"	"M"	55
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Female"	"F"	28
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Male"	"M"	81
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Female"	"F"	46
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Male"	"M"	89
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Female"	"F"	48
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Male"	"M"	104
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Female"	"F"	45
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Male"	"M"	88
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Female"	"F"	47
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Male"	"M"	78
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Female"	"F"	57
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Male"	"M"	66
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Female"	"F"	42
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Male"	"M"	67
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"80-84 years"	"80-84"	"Female"	"F"	41
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"80-84 years"	"80-84"	"Male"	"M"	47
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"85+ years"	"85+"	"Female"	"F"	53
	"Other Leukemias"	"35041-35043"	"Other Races and Unknown combined"	"2131-1"	"85+ years"	"85+"	"Male"	"M"	37
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Male"	"M"	24
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Male"	"M"	29
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Female"	"F"	18
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Male"	"M"	40
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Male"	"M"	40
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Male"	"M"	47
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Male"	"M"	31
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Male"	"M"	47
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Male"	"M"	29
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Male"	"M"	30
	"Other Lymphocytic Leukemia"	"35013"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Male"	"M"	21
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Male"	"M"	21
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	51
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Female"	"F"	40
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	62
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Female"	"F"	32
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	82
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Female"	"F"	37
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	105
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Female"	"F"	55
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Male"	"M"	143
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Female"	"F"	67
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Male"	"M"	141
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Female"	"F"	75
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Male"	"M"	139
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Female"	"F"	64
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Male"	"M"	117
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Female"	"F"	85
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Male"	"M"	99
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Female"	"F"	48
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Male"	"M"	74
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Female"	"F"	74
	"Other Lymphocytic Leukemia"	"35013"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Male"	"M"	52
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"1-4 years"	"1-4"	"Female"	"F"	48
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"1-4 years"	"1-4"	"Male"	"M"	40
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"5-9 years"	"5-9"	"Female"	"F"	26
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"5-9 years"	"5-9"	"Male"	"M"	33
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"10-14 years"	"10-14"	"Female"	"F"	17
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"10-14 years"	"10-14"	"Male"	"M"	24
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"15-19 years"	"15-19"	"Female"	"F"	18
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"15-19 years"	"15-19"	"Male"	"M"	30
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"20-24 years"	"20-24"	"Female"	"F"	26
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"20-24 years"	"20-24"	"Male"	"M"	31
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"25-29 years"	"25-29"	"Female"	"F"	45
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"25-29 years"	"25-29"	"Male"	"M"	96
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"30-34 years"	"30-34"	"Female"	"F"	92
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"30-34 years"	"30-34"	"Male"	"M"	298
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"35-39 years"	"35-39"	"Female"	"F"	230
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"35-39 years"	"35-39"	"Male"	"M"	704
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"40-44 years"	"40-44"	"Female"	"F"	385
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"40-44 years"	"40-44"	"Male"	"M"	1209
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"45-49 years"	"45-49"	"Female"	"F"	505
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"45-49 years"	"45-49"	"Male"	"M"	1700
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"50-54 years"	"50-54"	"Female"	"F"	576
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"50-54 years"	"50-54"	"Male"	"M"	2170
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"55-59 years"	"55-59"	"Female"	"F"	580
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"55-59 years"	"55-59"	"Male"	"M"	2469
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"60-64 years "	"60-64"	"Female"	"F"	674
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"60-64 years "	"60-64"	"Male"	"M"	2348
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"65-69 years"	"65-69"	"Female"	"F"	870
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"65-69 years"	"65-69"	"Male"	"M"	2380
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"70-74 years"	"70-74"	"Female"	"F"	824
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"70-74 years"	"70-74"	"Male"	"M"	2241
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"75-79 years"	"75-79"	"Female"	"F"	904
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"75-79 years"	"75-79"	"Male"	"M"	2010
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"80-84 years"	"80-84"	"Female"	"F"	918
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	1606
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"85+ years"	"85+"	"Female"	"F"	1329
	"Other Lymphocytic Leukemia"	"35013"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	1498
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Male"	"M"	30
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Male"	"M"	32
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Male"	"M"	58
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Female"	"F"	18
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Male"	"M"	46
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Male"	"M"	62
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Male"	"M"	44
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Female"	"F"	17
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Male"	"M"	33
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Male"	"M"	26
	"Other Lymphocytic Leukemia"	"35013"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Male"	"M"	27
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"Female"	"F"	17
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Male"	"M"	18
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Female"	"F"	18
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Male"	"M"	17
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Female"	"F"	19
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Male"	"M"	28
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Female"	"F"	26
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Male"	"M"	22
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Female"	"F"	16
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Male"	"M"	31
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Female"	"F"	23
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Male"	"M"	28
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Female"	"F"	20
	"Acute Monocytic Leukemia"	"35031"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Male"	"M"	24
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"Female"	"F"	21
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"Female"	"F"	19
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"Male"	"M"	18
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Female"	"F"	20
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Male"	"M"	17
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Female"	"F"	26
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Female"	"F"	23
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	25
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Female"	"F"	31
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	26
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Female"	"F"	36
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	30
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Female"	"F"	52
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	34
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Female"	"F"	52
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Male"	"M"	41
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Female"	"F"	54
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Male"	"M"	61
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Female"	"F"	56
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Male"	"M"	62
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Female"	"F"	38
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Male"	"M"	55
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Female"	"F"	36
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Male"	"M"	41
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Female"	"F"	40
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Male"	"M"	33
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Female"	"F"	37
	"Acute Monocytic Leukemia"	"35031"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Male"	"M"	34
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"< 1 year"	"1"	"Female"	"F"	113
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"< 1 year"	"1"	"Male"	"M"	86
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"1-4 years"	"1-4"	"Female"	"F"	126
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"1-4 years"	"1-4"	"Male"	"M"	153
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"5-9 years"	"5-9"	"Female"	"F"	75
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"5-9 years"	"5-9"	"Male"	"M"	67
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"10-14 years"	"10-14"	"Female"	"F"	75
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"10-14 years"	"10-14"	"Male"	"M"	100
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"15-19 years"	"15-19"	"Female"	"F"	114
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"15-19 years"	"15-19"	"Male"	"M"	129
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"20-24 years"	"20-24"	"Female"	"F"	120
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"20-24 years"	"20-24"	"Male"	"M"	122
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"25-29 years"	"25-29"	"Female"	"F"	109
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"25-29 years"	"25-29"	"Male"	"M"	124
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"30-34 years"	"30-34"	"Female"	"F"	143
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"30-34 years"	"30-34"	"Male"	"M"	143
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"35-39 years"	"35-39"	"Female"	"F"	171
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"35-39 years"	"35-39"	"Male"	"M"	184
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"40-44 years"	"40-44"	"Female"	"F"	247
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"40-44 years"	"40-44"	"Male"	"M"	266
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"45-49 years"	"45-49"	"Female"	"F"	317
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"45-49 years"	"45-49"	"Male"	"M"	336
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"50-54 years"	"50-54"	"Female"	"F"	484
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"50-54 years"	"50-54"	"Male"	"M"	403
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"55-59 years"	"55-59"	"Female"	"F"	467
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"55-59 years"	"55-59"	"Male"	"M"	592
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"60-64 years "	"60-64"	"Female"	"F"	542
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"60-64 years "	"60-64"	"Male"	"M"	771
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"65-69 years"	"65-69"	"Female"	"F"	594
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"65-69 years"	"65-69"	"Male"	"M"	841
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"70-74 years"	"70-74"	"Female"	"F"	633
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"70-74 years"	"70-74"	"Male"	"M"	935
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"75-79 years"	"75-79"	"Female"	"F"	642
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"75-79 years"	"75-79"	"Male"	"M"	1040
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"80-84 years"	"80-84"	"Female"	"F"	562
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	828
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"85+ years"	"85+"	"Female"	"F"	579
	"Acute Monocytic Leukemia"	"35031"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	684
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Female"	"F"	16
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Male"	"M"	21
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Female"	"F"	21
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Male"	"M"	21
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Female"	"F"	20
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Male"	"M"	21
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Female"	"F"	25
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Male"	"M"	29
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Female"	"F"	17
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Male"	"M"	33
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Female"	"F"	27
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Male"	"M"	21
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Female"	"F"	35
	"Other Acute Leukemia"	"35041"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Male"	"M"	30
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"Male"	"M"	30
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"Male"	"M"	22
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"10-14 years"	"10-14"	"Male"	"M"	38
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Male"	"M"	33
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Female"	"F"	22
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Male"	"M"	21
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Female"	"F"	20
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Male"	"M"	28
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Female"	"F"	22
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Male"	"M"	27
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	25
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Female"	"F"	36
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	31
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Female"	"F"	47
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	59
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Female"	"F"	50
	"Other Acute Leukemia"	"35041"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	59
