"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"Prostate"	"28010"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1178
	"Prostate"	"28010"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	23874
	"Prostate"	"28010"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	61704
	"Prostate"	"28010"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1991
	"Prostate"	"28010"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1419
	"Prostate"	"28010"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	4399
	"Prostate"	"28010"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	64102
	"Prostate"	"28010"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	220356
	"Prostate"	"28010"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	6685
	"Prostate"	"28010"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	2547
	"Prostate"	"28010"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	9779
	"Prostate"	"28010"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	111346
	"Prostate"	"28010"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	444983
	"Prostate"	"28010"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	12884
	"Prostate"	"28010"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	3689
	"Prostate"	"28010"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	15421
	"Prostate"	"28010"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	137905
	"Prostate"	"28010"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	648681
	"Prostate"	"28010"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	18194
	"Prostate"	"28010"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	4160
	"Prostate"	"28010"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	21266
	"Prostate"	"28010"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	141240
	"Prostate"	"28010"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	798947
	"Prostate"	"28010"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	20621
	"Prostate"	"28010"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	3176
	"Prostate"	"28010"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	18409
	"Prostate"	"28010"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	96779
	"Prostate"	"28010"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	680398
	"Prostate"	"28010"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	16416
	"Prostate"	"28010"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	2044
	"Prostate"	"28010"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	13060
	"Prostate"	"28010"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	57704
	"Prostate"	"28010"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	470683
	"Prostate"	"28010"	"75-79 years"	"75-79"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	10944
	"Prostate"	"28010"	"80-84 years"	"80-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1023
	"Prostate"	"28010"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	6807
	"Prostate"	"28010"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	27584
	"Prostate"	"28010"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	249795
	"Prostate"	"28010"	"80-84 years"	"80-84"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	5177
	"Prostate"	"28010"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	680
	"Prostate"	"28010"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	4285
	"Prostate"	"28010"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	19116
	"Prostate"	"28010"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	168885
	"Prostate"	"28010"	"85+ years"	"85+"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	2614
	"Stomach"	"21020"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	43
	"Stomach"	"21020"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	25
	"Stomach"	"21020"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	32
	"Stomach"	"21020"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	106
	"Stomach"	"21020"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	24
	"Stomach"	"21020"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	94
	"Stomach"	"21020"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	43
	"Stomach"	"21020"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	96
	"Stomach"	"21020"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	339
	"Stomach"	"21020"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	38
	"Stomach"	"21020"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	75
	"Stomach"	"21020"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	315
	"Stomach"	"21020"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	112
	"Stomach"	"21020"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	163
	"Stomach"	"21020"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	641
	"Stomach"	"21020"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	21
	"Stomach"	"21020"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	86
	"Stomach"	"21020"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	185
	"Stomach"	"21020"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	738
	"Stomach"	"21020"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	27
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	28
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	242
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	380
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	1453
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	44
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	23
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	175
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	381
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	1522
	"Stomach"	"21020"	"30-34 years"	"30-34"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	44
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	62
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	397
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	700
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	2504
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	82
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	53
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	335
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	716
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	2986
	"Stomach"	"21020"	"35-39 years"	"35-39"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	94
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	79
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	600
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	1196
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	3992
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	120
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	82
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	609
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	1312
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	5385
	"Stomach"	"21020"	"40-44 years"	"40-44"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	139
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	110
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	841
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	1728
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	5948
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	123
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	129
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	931
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	2390
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	9583
	"Stomach"	"21020"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	185
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	133
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1027
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	2473
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	8315
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	179
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	186
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1390
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	3928
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	15469
	"Stomach"	"21020"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	233
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	169
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1306
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	3056
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	10485
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	197
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	250
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1863
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	5100
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	22317
	"Stomach"	"21020"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	302
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	160
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1370
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	3474
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	12738
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	194
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	299
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2319
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	6028
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	28583
	"Stomach"	"21020"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	331
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	205
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1632
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	3874
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	15715
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	205
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	298
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2648
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	6154
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	33102
	"Stomach"	"21020"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	313
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	170
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1770
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	4020
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	17529
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	213
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	318
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2657
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	5940
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	34808
	"Stomach"	"21020"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	295
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	163
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1769
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	4110
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	18853
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	147
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	251
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2522
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	5097
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	32825
	"Stomach"	"21020"	"75-79 years"	"75-79"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	221
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	127
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1479
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	3595
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	18323
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	141
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	163
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1997
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	3638
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	25557
	"Stomach"	"21020"	"80-84 years"	"80-84"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	169
	"Stomach"	"21020"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	94
	"Stomach"	"21020"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1737
	"Stomach"	"21020"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	4412
	"Stomach"	"21020"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	22494
	"Stomach"	"21020"	"85+ years"	"85+"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	141
	"Stomach"	"21020"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	106
	"Stomach"	"21020"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1640
	"Stomach"	"21020"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	2917
	"Stomach"	"21020"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	21851
	"Stomach"	"21020"	"85+ years"	"85+"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	132
	"Thyroid"	"32010"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	47
	"Thyroid"	"32010"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	29
	"Thyroid"	"32010"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	27
	"Thyroid"	"32010"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	320
	"Thyroid"	"32010"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	21
	"Thyroid"	"32010"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	178
	"Thyroid"	"32010"	"10-14 years"	"10-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	17
	"Thyroid"	"32010"	"10-14 years"	"10-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	164
	"Thyroid"	"32010"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	152
	"Thyroid"	"32010"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	2072
	"Thyroid"	"32010"	"10-14 years"	"10-14"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	66
	"Thyroid"	"32010"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	40
	"Thyroid"	"32010"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	57
	"Thyroid"	"32010"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	613
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	97
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	561
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	517
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	8374
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	209
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	24
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	119
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	114
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	1690
	"Thyroid"	"32010"	"15-19 years"	"15-19"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	55
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	218
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1266
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	1230
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	18431
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	509
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	31
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	263
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	176
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	3611
	"Thyroid"	"32010"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	108
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	350
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	2522
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	2481
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	30422
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	881
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	51
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	548
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	370
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	6161
	"Thyroid"	"32010"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	182
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	414
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	3789
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	3642
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	42646
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1206
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	77
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	823
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	549
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	9089
	"Thyroid"	"32010"	"30-34 years"	"30-34"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	301
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	513
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	4474
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	4740
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	50389
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1389
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	111
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1001
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	731
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	12282
	"Thyroid"	"32010"	"35-39 years"	"35-39"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	321
